case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless,parent,totalage,refage,educ,income,race,polparty,polviewr,polview,ideology,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthin,typeins,instype,he2z,partyln,partycom,covi1b,covi1bne,covi1c,covi1cne,covi2,covi2net,covi3,covi4,covi4net,covi5,covi6a,covi6ane,covi6b,covi6bne,covi6c,covi6cne,covi6d,covi6dne,covi7,covi8,covi9
50000153,816,.6654,CA,Non-Center City (Metro),West,Owned,Married,Homemaker,Five,Two,Two,One,None,Yes,30-49,30-44,Two year associate degree from a college or university,"$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200422,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Good,Excellent/good,Not so good,Not so good/poor,Not too worried,Not too/not worried at all,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Not at all,Not too much/not at all,Appropriate,Appropriate,Oppose
50000155,816,.6685,CA,Center City (Metro),West,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",Mixed,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,No,Male,Atheist,Landline,No, , ,200422, , , , ,Neither/other,Independent/other,Excellent,Excellent/good,Excellent,Excellent/good,Not worried at all,Not too/not worried at all, , , , , , , , , , , , ,Too restrictive,Too restrictive,Support
50000156,816,1.1465,AZ,Center City (Metro),West,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,Two year associate degree from a college or university,"$150,000 to under $200,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Medicare, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Not too worried,Not too/not worried at all,No, , , , , , , , , , , ,Too restrictive,Appropriate,Support
50000158,816,2.0679,MA,Center City County (Metro),North East,Rented,"Single, that is never married",Part-time,Five,Three,One,One,None,No,18-29,18-29,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$50,000 but less than $100,000 (Unspecified)",Black Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,No,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your parents/mother/father, , , ,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Somewhat worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Too restrictive,Oppose
50000160,816,.8532,PA,Center City (Metro),North East,Owned,Widowed,Part-time,Four,Three,None,None,One,No,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",Black Non-Hispanic,An Independent,d3 1-5 asked,Very conservative,Conservative Net,Yes,Female,Baptist,Landline,No, , ,200423, , , , ,Neither/other,Independent/other,Not so good,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried, , , , , , , , , , , , ,Appropriate,Appropriate,Support
50000163,816,.6053,PA,Center City (Metro),North East,Owned,Divorced,Retired,One,One, , , , ,50-64,45-64,Two year associate degree from a college or university,"$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,No, , ,200423,"Yes, covered by health insurance",Medicare, , ,Republican,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Not worried at all,Not too/not worried at all, , , , , , , , , , , , ,Too restrictive,Too restrictive,Support
50000166,816,.9649,MI,Surburban (Metro),North Central,Owned,Married,Full-time,Five,Five, , , , ,30-49,45-64,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"No, not covered by health insurance", , , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Very worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Uncomfortable,Not at all,Not too much/not at all,Not too much,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not restrictive enough,Not restrictive enough,Oppose
50000167,816,.9646,IL,Center City (Metro),North Central,Rented,Separated,Temporarily unemployed,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $50,000 (Unspecified)",White Non-Hispanic,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Republican/leans Republican,Poor,Not so good/poor,Poor,Not so good/poor,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Uncomfortable,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,Too restrictive,Appropriate,Oppose
50000170,816,.4188,PA,Surburban (Metro),North East,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Support
50000174,816,1.5635,IN,Center City County (Metro),North Central,Owned,Married,Full-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000176,816,.8124,FL,Non-Metro,South,Owned,Married,Full-time,Six or more,Six or more,None,None,One,No,50-64,45-64,Two year associate degree from a college or university,"$150,000 to under $200,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Not restrictive enough,Oppose
50000177,816,.6302,IL,Surburban (Metro),North Central,Owned,"Single, that is never married",Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$25,000 but less than $30,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Male,Protestant,Landline,No, , ,200423, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried, , , , , , , , , , , , ,Appropriate,Not restrictive enough,Oppose
50000179,816,.4615,MD,Non-Metro,South,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Male,Episcopalian or Anglican,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000180,816,.6409,RI,Center City County (Metro),North East,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$200,000 to under $250,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Neither/other,Independent/other,Poor,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000182,816,.8863,MD,Center City County (Metro),South,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$150,000 to under $200,000",Asian/Chinese/Japanese,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Hindu,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Refused,Refused,Good,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000184,816,.8107,GA,Center City (Metro),South,Owned,"Single, that is never married",Full-time,Two,Two, , , , ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",White Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Male,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,United States,200423,"No, not covered by health insurance", , , , ,Republican/leans Republican,Excellent,Excellent/good,Good,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Not restrictive enough,Support
50000185,816,.2659,MD,Center City (Metro),South,Owned,Widowed,Retired,One,One, , , , ,65+,65+,Two year associate degree from a college or university,"Less than $50,000 (Unspecified)",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,Protestant,Landline,No, , ,200423, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Very worried,Very/somewhat worried, , , , , , , , , , , , ,Too restrictive,Appropriate,Refused
50000189,816,.4188,FL,Surburban (Metro),South,Rented,Divorced,Full-time,Three,One,Two,None,None,Yes,50-64,45-64,Two year associate degree from a college or university,"$50,000 but less than $75,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Methodist,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Appropriate,Not restrictive enough,Support
50000190,816,1.3986,FL,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Very worried,Very/somewhat worried,No, , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Oppose
50000192,816,.3505,GA,Center City (Metro),South,Rented,Widowed,Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,Yes,Female,Nothing in particular,Landline,No, , ,200423, , , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Somewhat worried,Very/somewhat worried, , , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Support
50000193,816,.6767,OH,Surburban (Metro),North Central,Owned,Married,Part-time,Four,Two,One,One,None,Yes,30-49,45-64,Two year associate degree from a college or university,"$150,000 to under $200,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000195,816,.433,MI,Surburban (Metro),North Central,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Refused,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Refused,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Refused
50000198,816,.5467,NY,Center City (Metro),North East,Owned,Divorced,Temporarily unemployed,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $15,000",Unspecified Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,No,Male,"Catholic, Roman Catholic",Landline in language,"Yes, respondent or someone in household has cell phone", ,Another Country,200423, , , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Not restrictive enough,Oppose
50000200,816,.8628,NY,Non-Metro,North East,Owned,Married,Full-time,Five,Two,One,Two,None,Yes,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Not worried at all,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Appropriate,Appropriate,Support
50000202,816,.3749,NJ,Surburban (Metro),North East,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Male,Agnostic,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Very worried,Very/somewhat worried,Yes,Probably NOT use it,Definitely/probably NOT use it,Refused,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000204,816,.4143,MA,Surburban (Metro),North East,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$250,000 or more",White Non-Hispanic,A Democrat,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000206,816,1.3716,CT,Center City (Metro),North East,Owned,"Single, that is never married",Part-time,Five,Four,One,None,None,No,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",Asian/Chinese/Japanese,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Male,Muslim/Islamic,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your parents/mother/father, , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Definitely use it,Definitely/probably use it,Comfortable,A great deal,A great deal/a good amout,Not at all,Not too much/not at all,Not at all,Not too much/not at all,A great deal,A great deal/a good amout,Not restrictive enough,Not restrictive enough,Support
50000207,816,.4818,OH,Center City (Metro),North Central,Owned,"Single, living with a partner",Retired,One,One, , , , ,50-64,45-64,"Some college, no degree (includes community college)","Less than $50,000 (Unspecified)",White Non-Hispanic,A Republican,d3 1-5 asked,Very conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Medicare, , , ,Republican/leans Republican,Excellent,Excellent/good,Good,Excellent/good,Not too worried,Not too/not worried at all,No, , , , , , , , , , , ,Too restrictive,Appropriate,Support
50000208,816,2.0765,AL,Center City County (Metro),South,Refused,Married,Retired,Refused,Refused, , , , ,65+,65+,Two year associate degree from a college or university,Refused,Refused,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,No,Male,Christian (Just Christian),Landline,No, , ,200423, , , , , ,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Somewhat worried,Very/somewhat worried, , , , , , , , , , , , ,Appropriate,Appropriate,Support
50000211,816,.2974,OK,Center City (Metro),South,Owned,"Single, that is never married",Full-time,One,One, , , , ,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$40,000 but less than $50,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,Atheist,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Somewhat worried,Very/somewhat worried,Yes,Probably NOT use it,Definitely/probably NOT use it,Uncomfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not restrictive enough,Not restrictive enough,Oppose
50000213,816,.7904,AZ,Center City (Metro),West,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not restrictive enough,Appropriate,Oppose
50000214,816,.5969,FL,Non-Metro,South,Owned,Married,Full-time,Four,Two,One,One,None,Yes,30-49,45-64,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"No, not covered by health insurance", , , ,Neither/other,Independent/other,Good,Excellent/good,Good,Excellent/good,Not worried at all,Not too/not worried at all,No, , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Support
50000215,816,.6827,TX,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",White Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,United States,200423,"Yes, covered by health insurance",Don't Know, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Very worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Not restrictive enough,Oppose
50000217,816,.2253,IL,Center City (Metro),North Central,Owned,"Single, that is never married",Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000218,816,1.1647,IL,Surburban (Metro),North Central,Owned,Married,Full-time,Six or more,Four,One,Two,None,Yes,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$75,000 but less than $100,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Excellent,Excellent/good,Poor,Not so good/poor,Not worried at all,Not too/not worried at all,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Too restrictive,Too restrictive,Support
50000221,816,.7262,LA,Center City County (Metro),South,Owned,Married,Full-time,Two,Two, , , , ,65+,65+,"Some college, no degree (includes community college)","$50,000 but less than $75,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Comfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000222,816,.6357,TN,Surburban (Metro),South,Owned,Married,Full-time,Six or more,Three,One,Two,None,Yes,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Somewhere else, , , ,Republican/leans Republican,Excellent,Excellent/good,Good,Excellent/good,Not worried at all,Not too/not worried at all,Yes,Definitely NOT use it,Definitely/probably NOT use it,Comfortable,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000223,816,.3713,TX,Non-Metro,South,Owned,Married,Retired,Three,Two,None,One,None,No,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Refused,White Non-Hispanic,A Democrat,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Not restrictive enough,Oppose
50000224,816,.6276,CA,Surburban (Metro),West,Owned,Married,Part-time,Two,Two, , , , ,65+,65+,"Some college, no degree (includes community college)","$200,000 to under $250,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200423, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Support
50000225,816,.5153,KS,Non-Metro,North Central,Rented,Married,Full-time,Three,Two,None,One,None,Yes,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000227,816,.6365,AR,Surburban (Metro),South,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200423,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Somewhat worried,Very/somewhat worried,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Too restrictive,Too restrictive,Support
