case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,totalage,refage,educ,income,race,polparty,polviewrot,polview,ideologynet,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,instype,he2z,partyln,partycomb,covi1a,covi1anet,covi1b,covi1bnet,covi1c,covi1cnet,covi1d,covi1dnet,covi2,covi3,covi4,covi4net,covi5,covi5net,covi6,covi6net,covi7,covi8,covi9,covi10,covi11,covi12rot,covi12
50000416,815,.3578,GA,Surburban (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200419, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Not so good,Not so good/poor,Not employed,Not employed,Not a source of stress,Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
50000417,815,.25,CA,Center City County (Metro),West,Rented,Divorced,Part-time,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$40,000 but less than $50,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200419, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Very concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,Yes,Yes,Yes,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
50000418,815,.6224,NV,Center City (Metro),West,Owned,Married,Retired,Three,Two,One,None,None,Yes,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Landline,"Yes, respondent or someone in household has cell phone", , ,200419,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,Through an insurance agent or broker,Not sure, ,Republican/leans Republican,Good,Excellent/good,Poor,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Quickly
50000419,815,1.0944,CA,Center City (Metro),West,Rented,Married,Disabled/Handicapped,Three,Three, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200419, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Slowly
50000420,815,.9187,FL,Surburban (Metro),South,Rented,"Single, living with a partner",Full-time,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",White Non-Hispanic,Refused,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Refused,Landline,"Yes, respondent or someone in household has cell phone", , ,200419,"Yes, covered by health insurance",Refused, , ,Neither/other,Independent/other,Poor,Not so good/poor,Not so good,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
50000421,815,.8081,ID,Non-Metro,West,Owned,Widowed,Retired,One,One, , , , ,65+,65+,Less than high school (Grades 1-8 or no formal schooling),"$15,000 but less than $25,000",White Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,No,Male,Seventh-Day Adventist,Landline,No, ,United States,200419, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
50000422,815,.5898,WA,Center City County (Metro),West,Owned,"Single, that is never married",Retired,Two,Two, , , , ,50-64,45-64,Two year associate degree from a college or university,"$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,No,Male,Atheist,Landline,"Yes, respondent or someone in household has cell phone", , ,200419,"Yes, covered by health insurance",Don't Know, , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
50000423,815,1.1139,CA,Center City (Metro),West,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$40,000 but less than $50,000",White Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline in language,"Yes, respondent or someone in household has cell phone", ,Another Country,200419,"Yes, covered by health insurance",Medicare, , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Quickly
70000001,815,1.4525,SC,Center City County (Metro),South,Rented,Married,Full-time,Two,Two, , , , ,30-49,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",Black Non-Hispanic,Refused,d3 1-5 asked,Refused,Refused,Refused,Female,Refused,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Refused/No answer,Refused,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Somewhat concerned,Very concerned/somewhat concerned,Not worried at all,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of May,quickly/slowly,Quickly
70000005,815,.9357,OH,Surburban (Metro),North Central,Rented,"Single, that is never married",Temporarily unemployed,Two,Two, , , , ,30-49,30-44,"Some college, no degree (includes community college)","$25,000 but less than $30,000",Black Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,No,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414,"No, not covered by health insurance", , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Refused,Refused,Refused,Refused,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,Yes,No,No,"Yes, wore mask or face covering",Don't know,quickly/slowly,Slowly
70000006,815,1.149,PA,Center City (Metro),North East,Owned,Married,Full-time,Four,Two,None,Two,None,Yes,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Male,Protestant,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
70000007,815,1.0687,NC,Non-Metro,South,Rented,Refused,Part-time,One,One, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),Refused,White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Male,Nothing in particular,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Medicare, , ,Neither/other,Independent/other,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of May,quickly/slowly,Quickly
70000008,815,.6855,GA,Surburban (Metro),South,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Refused,Native American/American Indian/Alaska Native,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"Yes, has a home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of May,slowly/quickly,Quickly
70000009,815,1.773,GA,Surburban (Metro),South,Rented,Married,Temporarily unemployed,Three,Two,None,None,One,Yes,18-29,18-29,Two year associate degree from a college or university,"$30,000 but less than $40,000",White Non-Hispanic,A Republican,d3 1-5 asked,Very conservative,Conservative Net,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414,"No, not covered by health insurance", , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Quickly
70000010,815,.9526,AZ,Surburban (Metro),West,Owned,Married,Other not employed,Five,Two,None,One,Two,Yes,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Male,Nothing in particular,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Neither/other,Independent/other,Not so good,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of June,slowly/quickly,Quickly
70000013,815,.2846,DC,No metro status,South,Rented,Widowed,Temporarily unemployed,One,One, , , , ,65+,65+,Two year associate degree from a college or university,Refused,Black Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,No,Male,Christian (Just Christian),Cell Phone sample, ,"Yes, has a home telephone", ,200414, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Refused,quickly/slowly,Slowly
70000015,815,1.4814,PA,Center City County (Metro),North East,Owned,Divorced,Full-time,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"Less than $15,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,No,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Refused, , ,Refused/No answer,Refused,Poor,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Poor,Not so good/poor,Not a source of stress,Yes,Not too concerned,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Quickly
70000016,815,1.2184,MA,Surburban (Metro),North East,Owned,Married,Full-time,Four,Two,None,One,One,Yes,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,Unitarian/Universalist,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
70000018,815,1.057,MA,Surburban (Metro),North East,Rented,Married,Homemaker,Three,Two,None,One,None,Yes,30-49,30-44,Two year associate degree from a college or university,"$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Atheist,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,From healthcare.gov/state-specific marketplace, ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
70000020,815,.7198,IN,Center City (Metro),North Central,Rented,Widowed,Retired,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","$15,000 but less than $25,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Very liberal,Liberal Net,Yes,Female,Protestant,Cell Phone sample, ,"No, no home telephone", ,200414, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,Don't know,quickly/slowly,Slowly
70000021,815,.5025,SC,Center City (Metro),South,Owned,Married,Full-time,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Cell Phone sample, ,"Yes, has a home telephone", ,200414, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Refused,Refused,Excellent,Excellent/good,Refused,Refused,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
70000023,815,1.2318,GA,Surburban (Metro),South,Owned,Married,Part-time,Five,Three,One,One,None,Yes,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414,"No, not covered by health insurance", , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
70000024,815,.8789,KY,Non-Metro,South,Owned,Married,Full-time,Six or more,Four,Four,None,None,Yes,30-49,30-44,"Some postgraduate or professional schooling, no postgraduate degree","$100,000 to under $150,000",White Non-Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Male,Baptist,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of May,slowly/quickly,Quickly
70000025,815,.8117,SC,Surburban (Metro),South,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Male,Protestant,Cell Phone sample, ,"Yes, has a home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Not so good,Not so good/poor,Poor,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Quickly
70000026,815,1.416,NC,No metro status,South,Rented,Married,Disabled/Handicapped,Two,Two, , , , ,65+,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"Less than $15,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Refused,Refused,No, , ,"Yes, wore mask or face covering",Refused,slowly/quickly,Slowly
70000027,815,.9389,MI,Non-Metro,North Central,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Cell Phone sample, ,"Yes, has a home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Not so good,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,By the end of May,quickly/slowly,Slowly
70000028,815,1.3783,NJ,Non-Center City (Metro),North East,Rented,"Single, living with a partner",Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Protestant,Cell Phone sample, ,"No, no home telephone", ,200414, , , , , ,Republican/leans Republican,Poor,Not so good/poor,Not so good,Not so good/poor,Poor,Not so good/poor,Not employed,Not employed,"Yes, stress, but not serious",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Quickly
70000029,815,1.4127,KY,Non-Metro,South,Owned,Married,Part-time,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Baptist,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not so good,Not so good/poor,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Don't know,slowly/quickly,Quickly
70000032,815,.7447,SC,Center City County (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$75,000 but less than $100,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone", ,200414, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Quickly
70000033,815,.8935,GA,Surburban (Metro),South,Rented,"Single, that is never married",Full-time,Six or more,Three,One,Two,None,No,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Protestant,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Not so good,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of May,slowly/quickly,Quickly
70000034,815,.7302,NY,Center City (Metro),North East,Rented,Married,Full-time,Four,Four, , , , ,30-49,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",Black Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Not a source of stress,No, , , , ,Somewhat worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",Or will it take longer than that,quickly/slowly,Quickly
70000035,815,.9059,GA,Surburban (Metro),South,Owned,Married,Full-time,Six or more,Two,Three,One,None,Yes,30-49,45-64,Two year associate degree from a college or university,"$50,000 but less than $75,000",White Non-Hispanic,A Republican,d3 1-5 asked,Very conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"Yes, has a home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Not worried at all,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of April,slowly/quickly,Slowly
70000036,815,.845,PA,Surburban (Metro),North East,Rented,"Single, living with a partner",Full-time,Three,Three, , , , ,30-49,30-44,Two year associate degree from a college or university,"$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Agnostic,Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,Not a source of stress,No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of May,slowly/quickly,Slowly
70000037,815,1.6016,MD,Surburban (Metro),South,Owned,"Single, that is never married",Part-time,Five,Five, , , , ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Atheist,Cell Phone sample, ,"No, no home telephone", ,200414,"No, not covered by health insurance", , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
70000041,815,1.4013,WA,Center City (Metro),West,Rented,"Single, that is never married",Part-time,Two,Two, , , , ,18-29,18-29,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$15,000 but less than $25,000",White Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Refused,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone",Another Country,200414,"No, not covered by health insurance", , , ,Neither/other,Independent/other,Not so good,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,Poor,Not so good/poor,Not a source of stress,No, , , , ,Somewhat worried,Very/somewhat worried,Yes,Yes,Yes,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Quickly
70000043,815,.9947,NJ,Non-Center City (Metro),North East,Owned,Divorced,Part-time,One,One, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Not a source of stress,Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Quickly
70000044,815,1.1022,FL,Center City (Metro),South,Owned,Married,Full-time,Four,Four, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",White Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Cell Phone sample, ,"No, no home telephone",Another Country,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of May,slowly/quickly,Quickly
70000045,815,1.0687,WV,Non-Metro,South,Owned,Divorced,Full-time,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$200,000 to under $250,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Not so good,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of April,slowly/quickly,Quickly
